회사명 : (주)청명기연환경 / 2025/08/25  ~ 2025/08/28  / 장비투입현황,,,,,,,
일자-No.,출고창고명,입고창고명,장비명,일련번호,수량,장비상태,비고
2025/08/25 -8,현장,청명,(PM-10) PMS-204,1904005,1,,
2025/08/25 -8,현장,청명,(PM-2.5) PMS-204,1708786,1,,
2025/08/25 -8,현장,청명,"(NOx, SOx) BMW-5000",718,1,,
2025/08/25 -8,현장,청명,(PM-10) PMS-204,1904007,1,,
2025/08/25 -8,현장,청명,(PM-2.5) PMS-204,1501512,1,,
2025/08/25 -8,현장,청명,"(NOx, SOx) BMW-5000",1312,1,,
2025/08/25 -8,현장,청명,(PM-10) KMS-4200,18P357,1,,
2025/08/25 -8,현장,청명,(PM-2.5) KMS-4200,22P615,1,,
2025/08/25 -8,현장,청명,"(NOx, SOx) BMW-5000",1311,1,,
2025/08/25 -8,현장,청명,(PM-10) KMS-4200,19P426,1,,
2025/08/25 -8,현장,청명,(PM-2.5) KMS-4200,20P556,1,,
2025/08/25 -8,현장,청명,"(NOx, SOx) BMW-5000",852,1,,
2025/08/25 -8,현장,청명,"(NOx, SOx) BMW-5000",1317,1,,
2025/08/25 -8,현장,청명,"(NOx, SOx) BMW-5000",1320,1,,
2025/08/25 -9,업체,청명,(PM-10) KMS-4200,18P373,1,양호,장비점 검 및 수리 후 회사입고
2025/08/25 -9,업체,청명,(PM-10) KMS-4200,19P424,1,양호,장비점 검 및 수리 후 회사입고
2025/08/25 -9,업체,청명,(PM-10) KMS-4200,19P428,1,양호,장비점 검 및 수리 후 회사입고
2025/08/25 -9,업체,청명,COS-100,KM008W18CO77,1,양호,장비점 검 및 수리 후 회사입고
2025/08/25 -11,현장,청명,(PM-10) KMS-4200,18P366,1,,
2025/08/25 -11,현장,청명,(PM-2.5) PMS-204,1708789,1,,
2025/08/25 -11,현장,청명,"(NOx, SOx) BMW-5000",1745,1,,
2025/08/25 -11,현장,청명,(PM-10) PMS-204,1904012,1,,
2025/08/25 -11,현장,청명,(PM-2.5) PMS-204,1501479,1,,
2025/08/25 -11,현장,청명,"(NOx, SOx) BMW-5000",858,1,,
2025/08/25 -11,현장,청명,(PM-10) KMS-4200,18P360,1,,
2025/08/25 -11,현장,청명,(PM-2.5) PMS-204,1501481,1,,
2025/08/25 -11,현장,청명,"(NOx, SOx) BMW-5000",1313,1,,
2025/08/25 -11,현장,청명,(PM-10) KMS-4200,18P371,1,,
2025/08/25 -11,현장,청명,(PM-2.5) PMS-204,1709798,1,,
2025/08/25 -11,현장,청명,"(NOx, SOx) BMW-5000",853,1,,
2025/08/25 -11,현장,청명,"(NOx, SOx) BMW-5000",717,1,,
2025/08/25 -11,현장,청명,(PM-10) KMS-4200,18P354,1,,
2025/08/25 -11,현장,청명,(PM-2.5) KMS-4200,20P565,1,,
2025/08/25 -12,청명,현장,ProPlus,19E102565,1,정상,수질
2025/08/25 -12,청명,현장,CTD MULTIPARAMETER,500m AML-3,1,정상,해양
2025/08/25 -13,청명,현장,(소음) SC-260,T242106,1,,
2025/08/25 -13,청명,현장,(소음) SC-260,T242074,1,,
2025/08/25 -13,청명,현장,(소음) SC-260,T242056,1,,
2025/08/25 -13,청명,현장,(소음) SC-260,T242072,1,,
2025/08/25 -13,청명,현장,(소음) SC-260,T246352,1,,
2025/08/25 -13,청명,현장,(진동) VM-1220E,20E474,1,,
2025/08/25 -13,청명,현장,(진동) TYPE3233,170066,1,,
2025/08/25 -13,청명,현장,(진동) TYPE3233,170067,1,,
2025/08/25 -13,청명,현장,(진동) TYPE3233,190024,1,,
2025/08/25 -13,청명,현장,(진동) TYPE3233,140099,1,,
2025/08/25 -13,청명,현장,(진동) TYPE3233,160096,1,,
2025/08/25 -13,청명,현장,(소음계교정) NC-73,10844967,1,,
2025/08/25  계,,,,,91,,
2025/08/26 -1,청명,현장,(PM-10) KMS-4200,18P368,1,,
2025/08/26 -1,청명,현장,(PM-2.5) KMS-4200,20P564,1,,
2025/08/26 -1,청명,현장,"(NOx, SOx) BMW-5000",1792,1,,
2025/08/26 -1,청명,현장,(CO) Serinus30i,18-0328,1,,
2025/08/26 -1,청명,현장,(O3) Serinus10i,17-0127,1,,
2025/08/26 -1,청명,현장,(Pb) T8400ME,TA3275,1,,
2025/08/26 -1,청명,현장,(VOCs) MP-Σ30KNⅡ,770654,1,,
2025/08/26 -1,청명,현장,(PM-10) E-BAM,Y22710,1,,
2025/08/26 -1,청명,현장,(NO2) MEZUS-210,K1515023,1,,
2025/08/26 -1,청명,현장,(O3) Serinus10i,17-0132,1,,
2025/08/26 -1,청명,현장,(PM-2.5) E-BAM,W17347,1,,
2025/08/26 -1,청명,현장,(CO) Serinus30i,21-0331,1,,
2025/08/26 -1,청명,현장,(SO2) Serinus50i,17-1912,1,,
2025/08/26 -1,청명,현장,(CO) Serinus30i,20-2305,1,,
2025/08/26 -1,청명,현장,(PM-2.5) E-BAM,T25861,1,,
2025/08/26 -1,청명,현장,(NO2) MEZUS-210,K1612016,1,,
2025/08/26 -1,청명,현장,(PM-10) E-BAM,X18021,1,,
2025/08/26 -1,청명,현장,(SO2) Serinus50i,17-1733,1,,
2025/08/26 -1,청명,현장,(O3) Serinus10i,17-0131,1,,
2025/08/26 -1,청명,현장,(PM-2.5) E-BAM,W17345,1,,
2025/08/26 -1,청명,현장,(PM-10) E-BAM,Y17932,1,,
2025/08/26 -1,청명,현장,(SO2) Serinus50i,17-1798,1,,
2025/08/26 -1,청명,현장,(NO2) MEZUS-210,K1515019,1,,
2025/08/26 -2,청명,현장,(PM-10) KMS-4200,18P375,1,,
2025/08/26 -2,청명,현장,(PM-2.5) PMS-204,1501505,1,,
2025/08/26 -2,청명,현장,"(NOx, SOx) BMW-5000",856,1,,
2025/08/26 -2,청명,현장,(CO) Serinus30i,18-0145,1,,
2025/08/26 -2,청명,현장,(O3) Serinus10i,17-0129,1,,
2025/08/26 -2,청명,현장,(Pb) T8400ME,TA3265,1,,
2025/08/26 -2,청명,현장,(VOCs) MP-Σ30KNⅡ,770655,1,,
2025/08/26 -3,청명,현장,(PM-10) E-BAM,R10783,1,정상,A-1
2025/08/26 -3,청명,현장,(PM-2.5) E-BAM,W17346,1,정상,A-1
2025/08/26 -3,청명,현장,(Pb) T8400ME,4176/TA3688,1,정상,A-1
2025/08/26 -3,청명,현장,(벤젠) MP-Σ30KNⅡ,850746,1,정상,"A-1,2"
2025/08/26 -3,청명,현장,(PM-2.5) BAM 1020,X16838,1,정상,A-2
2025/08/26 -3,청명,현장,(PM-10) BAM 1020,X17815,1,정상,A-2
2025/08/26 -3,청명,현장,(O3) Serinus10i,17-1391,1,정상,A-2
2025/08/26 -3,청명,현장,(CO) Serinus30i,18-0320,1,정상,A-2
2025/08/26 -3,청명,현장,(NO2) Serinus40,18-0353,1,정상,A-2
2025/08/26 -3,청명,현장,(SO2) Serinus50i,17-0866,1,정상,A-2
2025/08/26 -3,청명,현장,(Pb) T8400ME,TA3703,1,정상,A-2
2025/08/26 -3,청명,현장,(O3) Serinus10,17-0988,1,정상,A-1
2025/08/26 -3,청명,현장,(CO) Serinus30,17-1509,1,정상,A-1
2025/08/26 -3,청명,현장,(NO2) Serinus40,18-0984,1,정상,A-1
2025/08/26 -3,청명,현장,(SO2) Serinus50,18-0318,1,정상,A-1
2025/08/26 -4,현장,청명,ProPlus,19E102565,1,정상,수질
2025/08/26 -4,현장,청명,CTD MULTIPARAMETER,500m AML-3,1,정상,해양
2025/08/26 -5,청명,현장,COS-100,KM014W16CO22,1,,
2025/08/26 -5,청명,현장,(VOCs) MP-Σ30KNⅡ,770656,1,,
2025/08/26 -5,청명,현장,MP-Σ100KNⅡ,840487,1,,
2025/08/26 -5,청명,현장,악취샘플링 흡인박스,흡인박스5,1,,
2025/08/26 -5,청명,현장,KMS-5100,23KR1728,1,,
2025/08/26 -5,청명,현장,악취샘플링 흡인박스,흡인박스4,1,,
2025/08/26 -5,청명,현장,KMS-5100,23KR1730,1,,
2025/08/26 -5,청명,현장,Kestrel5500,2390486,1,,
2025/08/26  계,,,,,55,,
2025/08/27 -1,청명,현장,(CO) Serinus30i,20-2313,1,,
2025/08/27 -1,청명,현장,(O3) Serinus10i,21-0353,1,,
2025/08/27 -1,청명,현장,(PM-10) KMS-4200,18P360,1,,
2025/08/27 -1,청명,현장,(PM-2.5) KMS-4200,22P615,1,,
2025/08/27 -1,청명,현장,"(NOx, SOx) BMW-5000",1745,1,,
2025/08/27 -1,청명,현장,(Pb) T8400ME,3973,1,,
2025/08/27 -1,청명,현장,(벤젠) MP-Σ30KNⅡ,770658,1,,
2025/08/27 -2,청명,현장,(PM-10) KMS-4200,18P357,1,,
2025/08/27 -2,청명,현장,(PM-2.5) PMS-204,1709798,1,,
2025/08/27 -2,청명,현장,"(NOx, SOx) BMW-5000",1312,1,,
2025/08/27 -2,청명,현장,(CO) MEZUS-310,K1614025A,1,,
2025/08/27 -2,청명,현장,(O3) Serinus10i,17-0125,1,,
2025/08/27 -2,청명,현장,(Pb) T8400ME,TA3268,1,,
2025/08/27 -2,청명,현장,(PM-10) KMS-4200,18P371,1,,
2025/08/27 -2,청명,현장,(PM-2.5) PMS-204,1708786,1,,
2025/08/27 -2,청명,현장,"(NOx, SOx) BMW-5000",718,1,,
2025/08/27 -2,청명,현장,(O3) Serinus10i,21-0321,1,,
2025/08/27 -2,청명,현장,(CO) Serinus30i,20-1502,1,,
2025/08/27 -2,청명,현장,(Pb) T8400ME,TA3267,1,,
2025/08/27 -2,청명,현장,(벤젠) MP-Σ30KNⅡ,141411,2,,
2025/08/27 -3,청명,현장,(CO) Serinus30i,18-0159,1,,
2025/08/27 -3,청명,현장,"(NOx, SOx) BMW-5000",717,1,,
2025/08/27 -3,청명,현장,(PM-10) KMS-4200,18P369,1,,
2025/08/27 -3,청명,현장,(PM-2.5) KMS-4200,22P614,1,,
2025/08/27 -3,청명,현장,(Pb) T8400ME,TA3277,1,,
2025/08/27 -4,청명,현장,(O3) Serinus10i,17-0130,1,,
2025/08/27 -5,청명,현장,(PM-10) KMS-4200,18P359,1,,
2025/08/27 -5,청명,현장,(PM-2.5) KMS-4200,19P404,1,,
2025/08/27 -6,현장,청명,(PM-10) E-BAM,R10783,1,,A-1
2025/08/27 -6,현장,청명,(PM-2.5) E-BAM,W17346,1,,A-1
2025/08/27 -6,현장,청명,(Pb) T8400ME,4176/TA3688,1,,A-1
2025/08/27 -6,현장,청명,(벤젠) MP-Σ30KNⅡ,850746,1,,"A-1,2"
2025/08/27 -6,현장,청명,(PM-2.5) BAM 1020,X16838,1,,A-2
2025/08/27 -6,현장,청명,(PM-10) BAM 1020,X17815,1,,A-2
2025/08/27 -6,현장,청명,(O3) Serinus10i,17-1391,1,,A-2
2025/08/27 -6,현장,청명,(CO) Serinus30i,18-0320,1,,A-2
2025/08/27 -6,현장,청명,(NO2) Serinus40,18-0353,1,,A-2
2025/08/27 -6,현장,청명,(SO2) Serinus50i,17-0866,1,,A-2
2025/08/27 -6,현장,청명,(Pb) T8400ME,TA3703,1,,A-2
2025/08/27 -6,현장,청명,(O3) Serinus10,17-0988,1,,A-1
