항목,장비명,"박스번호
(23.05기준)",일련번호,정도검사일,유효기간,기준일,교정주기,비고,접수월,계산서날짜,등가성,Unnamed: 12,Unnamed: 13,등가성 내역,비고.1,구매년도,Unnamed: 17,Unnamed: 18
PM2.5(자),E-BAM,10 (청우3),T25863,2022.03.03,2023.03.27,3/28,매년,청명,예비장비검사제외,장비폐기(23.11.20),,,,2023년등가성,23년 수리. 등가성불합격. 재접수,2016,,
PM10(자),E-BAM,4,T15943,2022.07.01,2023.07.11,7/12,매년,21년등가성,예비장비검사제외,,,,,2023년 등가성,,2015,,
PM2.5(자),E-BAM,3,W17343,2022.07.27,2023.08.07,8/8,매년,,예비장비검사제외,,,,,2023년 등가성,,2017,,
PM2.5(자),E-BAM,4,W17344,2022.07.27,2023.08.07,8/8,매년,,예비장비검사제외,,,,,2023년 등가성,22년 pump교체,2017,,
PM10(자),E-BAM,5,T15945,2023.01.12,2023.08.29,8/29,매년,,예비장비검사제외,,,,,2022년 등가성,22년 정도검사 간신히,2015,,
PM10(자),E-BAM,6,T18759,2023.01.12,2023.08.29,8/29,매년,,예비장비검사제외,,,,,2022년 등가성,,2015,,
PM10(자),E-BAM,7,T18764,2023.01.12,2023.09.27,9/27,매년,,예비장비검사제외,,,,,2024년 등가성,21년 board stack 교체,2015,,
PM10(자),E-BAM,17,R10454,2023.03.23,2024.02.13,2/13,매년,청명,,,,,,2023년 등가성,,2014,,
PM2.5(자),E-BAM,8 (청우1),T25860,2023.07.12,2024.03.27,3/28,매년,청명,,,,,,2023년 등가성,21년 부적합,2016,,
PM10(자),E-BAM,1,P22857,2023.04.26,2024.04.18,4/19,매년,,,,,,,2022년 등가성,,2014,,
CO,Serinus i 30,27 (청우9),20-2132,2023.06.08,2025.04.29,4/30,,,7월,,,,,,,,,
PM10,PMS-204,27,1904004,2024.06.12,2025.05.12,5/13,매년,,7월,,,,,,,,,
PM2.5,PMS-204,8,1501506,2024.06.27,2025.06.02,6/3,매년,,8월,,,,,,,,,
CO,Serinus 30 i,20,20-0330,2023.07.13,2025.06.16,6/17,6차 완료,,7월,,,,,,,,,
O3,Serinus 10 i,16,21-0349,2023.07.13,2025.06.17,6/18,10차 완료,,7월,,,,,,,,,
O3,Serinus 10 i,15,21-0321,2025.06.20,2025.06.17,6/18,9차 완료,,7월,,,,,,,,,
PM2.5(자),E-BAM,2,T25864,2024.07.02,2025.07.02,7/2,매년,,7월,,,,,2024년 등가성,,2016,,
PM2.5,PMS-204,32 (청우4),1708795,2024.07.16,2025.07.09,7/10,매년,청명,7월,,,,,,,,,
PM2.5,PMS-204,21,1708786,2024.07.16,2025.07.09,7/11,매년,,7월,,,,,,,,,
PM2.5,PMS-204,22,1708787,2024.07.16,2025.07.09,7/11,매년,,8월,,,,,,,,,
PM2.5,PMS-204,23,1708788,2024.07.16,2025.07.09,7/11,매년,,7월,,,,,,,,,
PM2.5,PMS-204,25,1708790,2024.07.16,2025.07.09,7/11,매년,,7월,,,,,,,,,
PM2.5,PMS-204,26,1708793,2024.07.16,2025.07.09,7/11,매년,,7월,,,,,,,,,
PM2.5,PMS-204,31 (청우3),1708794,2024.07.26,2025.07.09,7/10,매년,청명,7월,,,,,,,,,
PM2.5(자),E-BAM,9,T25862,2024.07.23,2025.07.23,7/23,매년,청명,7월,,,,,2025년 등가성,"24년pump,Connector board교체",2016,,
PM10,KMS-4200,24,19P428,2024.07.09,2025.07.29,7/30,매년,,8월,,,,,,,,,
PM10,KMS-4200,39 (청우4),19P431,2024.07.09,2025.07.29,7/30,매년,청명,7월,,,,,,,,,
PM10,KMS-4200,22,19P426,2024.07.09,2025.07.29,7/30,매년,,7월,,,,,,,,,
