회사명 : (주)청명기연환경 / 2024/07/18  ~ 2025/08/25  / 장비투입현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
일자-No.	,출고창고명	,입고창고명	,품목명	,규격	,수량	,장비상태	,비고
2024/07/18 -1	,청명	,현장	,BMW-5000	,1789	,1,	,	
2024/07/18 -1	,청명	,현장	,BMW-5000	,1320	,1,	,	
2024/07/18 -1	,청명	,현장	,BMW-5000	,1792	,1,	,	
2024/07/18 -1	,청명	,현장	,BMW-5000	,1500	,1,	,	
2024/07/18 -1	,청명	,현장	,Serinus 30 i	,20-2171	,1,	,	
2024/07/18 -1	,청명	,현장	,Serinus 30 i	,18-0145	,1,	,	
2024/07/18 -1	,청명	,현장	,Serinus10i	,20-1571	,1,	,	
2024/07/18 -1	,청명	,현장	,Serinus 10 i	,21-0507	,1,	,	
2024/07/18 -1	,청명	,현장	,49iQ	,1190581598	,1,	,	
2024/07/18 -1	,청명	,현장	,49iQ	,1192754688	,1,	,	
2024/07/18 -1	,청명	,현장	,48iQ	,1202038522	,1,	,	
2024/07/18 -1	,청명	,현장	,48iQ	,1201888256	,1,	,	
2024/07/18 -1	,청명	,현장	,KMS-4200	,20P572	,1,	,	
2024/07/18 -1	,청명	,현장	,KMS-4200	,18P360	,1,	,	
2024/07/18 -1	,청명	,현장	,KMS-4200	,18P359	,1,	,	
2024/07/18 -1	,청명	,현장	,KMS-4200	,20P570	,1,	,	
2024/07/18 -1	,청명	,현장	,T8400ME	,4211/TA3713	,1,	,	
2024/07/18 -1	,청명	,현장	,T8400ME	,4170/TA3682	,1,	,	
2024/07/18 -1	,청명	,현장	,T8400ME	,4210/TA3712	,1,	,	
2024/07/18 -1	,청명	,현장	,T8400ME	,TA3723	,1,	,	
2024/07/19 -1	,청명	,현장	,COS-100	,KM008W18CO77	,1,정상	,	
2024/07/19 -1	,청명	,현장	,악취샘플링 흡인박스	,흡인박스5	,1,정상	,	
2024/07/19 -1	,청명	,현장	,악취샘플링 흡인박스	,흡인박스4	,1,정상	,	
2024/07/19 -1	,청명	,현장	,MP-Σ100KNⅡ	,950574	,1,정상	,	
2024/07/19 -1	,청명	,현장	,MP-Σ30KNⅡ	,770659	,1,정상	,	
2024/07/19 -1	,청명	,현장	,KMS-5100	,23KR1728	,1,정상	,	
2024/07/19 -1	,청명	,현장	,KMS-5100	,23KR1730	,1,정상	,	
2024/07/19 -1	,청명	,현장	,Kestrel5500	,2390486	,1,정상	,	
2024/07/19 -8	,청명	,현장	,BMW-5000	,1847	,1,	,	
2024/07/19 -8	,청명	,현장	,BMW-5000	,1314	,1,	,	
2024/07/19 -8	,청명	,현장	,BMW-5000	,854	,1,	,	
2024/07/19 -8	,청명	,현장	,BMW-5000	,1316	,1,	,	
2024/07/19 -8	,청명	,현장	,BMW-5000	,723	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,18P358	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,18P353	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,20P568	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,18P367	,1,	,	
2024/07/19 -8	,청명	,현장	,BMW-5000	,1798	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,20P564	,1,	,	
2024/07/19 -8	,청명	,현장	,PMS-204	,1501506	,1,	,	
2024/07/19 -8	,청명	,현장	,PMS-204	,1501518	,1,	,	
2024/07/19 -8	,청명	,현장	,PMS-204	,1501511	,1,	,	
2024/07/19 -8	,청명	,현장	,PMS-204	,1501520	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,18P372	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,18P354	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,19P431	,1,	,	
2024/07/19 -8	,청명	,현장	,KMS-4200	,18P361	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 30 i	,20-2305	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus10i	,20-1393	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus10	,17-0134	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 30 i	,21-2173	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 10 i	,21-0353	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 30 i	,18-0310	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 10 i	,17-0125	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 30 i	,18-0159	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus 10 i	,21-0322	,1,	,	
2024/07/19 -9	,청명	,현장	,Serinus30i	,20-2311	,1,	,	
2024/07/19 -9	,청명	,현장	,T8400ME	,TA2999	,1,	,	
2024/07/19 -9	,청명	,현장	,T8400ME	,TA3703	,1,	,	
2024/07/19 -9	,청명	,현장	,T8400ME	,TA3696	,1,	,	
2024/07/19 -9	,청명	,현장	,T8400ME	,4212/TA3714	,1,	,	
2024/07/19 -9	,청명	,현장	,BMW-5000	,1744	,1,	,	
2024/07/19 -9	,청명	,현장	,BMW-5000	,1794	,1,	,	
2024/07/19 -9	,청명	,현장	,BMW-5000	,853	,1,	,	
2024/07/19 -9	,청명	,현장	,BMW-5000	,1626	,1,	,	
2024/07/19 -9	,청명	,현장	,BMW-5000	,1791	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,20P569	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,19P427	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,22P615	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,22P614	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,18P368	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,18P369	,1,	,	
2024/07/19 -9	,청명	,현장	,KMS-4200	,18P375	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus10i	,21-0321	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus 30 i	,20-2132	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus 10 i	,17-0127	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus30i	,20-2313	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus30i	,20-2128	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus 10 i	,21-0356	,1,	,	
2024/07/19 -11	,청명	,현장	,Serinus30i	,20-1508	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,20P565	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,20P556	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,20P558	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,22P616	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,19P426	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,18P371	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,18P356	,1,	,	
2024/07/19 -11	,청명	,현장	,KMS-4200	,19P429	,1,	,	
2024/07/19 -11	,청명	,현장	,T8400ME	,4241/TA3744	,1,	,	
2024/07/19 -11	,청명	,현장	,T8400ME	,4159/TA3671	,1,	,	
2024/07/19 -11	,청명	,현장	,T8400ME	,TA3724	,1,	,	
2024/07/19 -11	,청명	,현장	,T8400ME	,TA2911	,1,	,	
2024/07/19 -11	,청명	,현장	,BMW-5000	,1746	,1,	,	
2024/07/19 -11	,청명	,현장	,BMW-5000	,1745	,1,	,	
2024/07/19 -11	,청명	,현장	,BMW-5000	,855	,1,	,	
2024/07/19 -11	,청명	,현장	,BMW-5000	,848	,1,	,	
2024/07/19 -11	,청명	,현장	,BMW-5000	,856	,1,	,	
2024/07/19 -11	,청명	,현장	,T8400ME	,3973	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus 10 i	,21-1357	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus30i	,21-0330	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus10	,17-0133	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus30i	,20-1509	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus30i	,20-1503	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus30i	,20-2131	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus10	,17-0132	,1,	,	
2024/07/19 -12	,청명	,현장	,KMS-4200	,19P405	,1,	,	
2024/07/19 -12	,청명	,현장	,KMS-4200	,19P428	,1,	,	
2024/07/19 -12	,청명	,현장	,KMS-4200	,18P373	,1,	,	
2024/07/19 -12	,청명	,현장	,KMS-4200	,20P573	,1,	,	
2024/07/19 -12	,청명	,현장	,PMS-204	,1501507	,1,	,	
2024/07/19 -12	,청명	,현장	,PMS-204	,1709798	,1,	,	
2024/07/19 -12	,청명	,현장	,PMS-204	,1501514	,1,	,	
2024/07/19 -12	,청명	,현장	,PMS-204	,1501519	,1,	,	
2024/07/19 -12	,청명	,현장	,BMW-5000	,850	,1,	,	
2024/07/19 -12	,청명	,현장	,BMW-5000	,1848	,1,	,	
2024/07/19 -12	,청명	,현장	,BMW-5000	,724	,1,	,	
2024/07/19 -12	,청명	,현장	,BMW-5000	,909	,1,	,	
2024/07/19 -12	,청명	,현장	,T8400ME	,TA3209	,1,	,	
2024/07/19 -12	,청명	,현장	,T8400ME	,TA3376	,1,	,	
2024/07/19 -12	,청명	,현장	,Serinus10i	,21-0349	,1,	,	
2024/07/19 -12	,청명	,현장	,T8400ME	,TA3267	,1,	,	
2024/07/19 -13	,청명	,현장	,Serinus30i	,20-1348	,1,	,	
2024/07/19 -13	,청명	,현장	,Serinus30i	,21-0331	,1,	,	
2024/07/19 -13	,청명	,현장	,T8400ME	,4162/TA3674	,1,	,	
2024/07/19 -13	,청명	,현장	,T8400ME	,TA3154	,1,	,	
2024/07/19 -13	,청명	,현장	,KMS-4200	,18P370	,1,	,	
2024/07/19 -13	,청명	,현장	,KMS-4200	,18P357	,1,	,	
2024/07/19 -13	,청명	,현장	,PMS-204	,1501479	,1,	,	
2024/07/19 -13	,청명	,현장	,PMS-204	,1708789	,1,	,	
2024/07/19 -13	,청명	,현장	,Serinus10i	,20-1384	,1,	,	
2024/07/19 -13	,청명	,현장	,BMW-5000	,726	,1,	,	
2024/07/19 -13	,청명	,현장	,BMW-5000	,722	,1,	,	
2024/07/19 -13	,청명	,현장	,Serinus 10 i	,17-0130	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,20P557	,1,	,	
2024/07/21 -1	,청명	,현장	,T8400ME	,TA3268	,1,	,	
2024/07/21 -1	,청명	,현장	,T8400ME	,4176/TA3688	,1,	,	
2024/07/21 -1	,청명	,현장	,T8400ME	,4238/TA3741	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,18P355	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,18P366	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,22P617	,1,	,	
