,,,,,,,,,,,,
번호,사업명,의뢰사,전체 계약기간,계약상세,,,,측정지점,,측정항목,,
,,,,공사시 (월 0회 / 분기 0회) ,운영시 (월 0회 / 분기 0회) ,사후 (월 0회 /분기 0회),전략 (기간 내 0회),일별,시간별,전항목,"PM10,PM2.5,Nox",기타
1,망포역세권 복합개발사업 사후환경영향조사,㈜KG엔지니어링종합건축사사무소,2025.08.01~2031.05.11,2025.09~2029.02 (분기 1회),2030.03~2031.02,,,4지점,,,3일연속,
2,화성태안(3) 택지개발사업지구 사후환경영향조사 용역,㈜KG엔지니어링종합건축사사무소,2007.03.29~2029.12.31,2025.01~2026.12 (분기 1회),2025.11~2026.02(월1회),,,8지점,,,3일연속,
3,P시설 건설사업 사후환경영향조사용역 중 환경질 조사,㈜KG엔지니어링종합건축사사무소,2025.05.26~2027.06.30,,,2025.05~2027.06 (분기 1회),,3지점,,,,"3일연속(PM-10, PM-2.5, NO2, SO2, CO)"
4,소양강댐 호수둘레길 조성사업 소규모환경영향평가 용역 중 환경질조사,강원길엔지니어링(주),2025.08.25~2025.12.31,,,,2025.08~과업완료시 (1회),2지점,,1일연속,,
5,지방도 494호선 시동지구 도로재구조화 사업 소규모환경영향 평가용역 중 환경질 조사,강원길엔지니어링(주),2025.04.25~과업완료시,,,,2025.04~과업완료시 (1회),2지점,,1일연속,,
6,하남감일 공공주택지구 사후환경영향조사(운영시) 용역 중 환경질,㈜강호엔지니어링,2025.05.28~2027.12.31,,2025.06~2027.12(반기 1회),,,8지점,,,,"3일연속(PM-10, NO2)"
7,임진강유원지 조성계획(변경) 및 주변지역 정비사업 환경영향평가용역 중 환경질,㈜경호엔지니어링종합건축사사무소,2025.02.03~2025.11.07,,,,2025.02~과업완료시 (1회),4지점,,1일연속,,
8,안성 중소기업 일반산업단지 사후환경영향조사,㈜경호엔지니어링종합건축사사무소,2023.07.17~2026.07.16,2024.07~2026.07(분기 1회),,,,9지점,,,3일연속,
9,대구 연호 공공주택지구,㈜경호엔지니어링종합건축사사무소,2023.05.31~2027.01.12,,,,2023.05~2027.01 (분기1회),5지점,,,3일연속,
10,광주쌍령공원 민간공원조성 특례사업 사후환경영향조사 ,㈜국일건설엔지니어링,2023.11.28~2027.12.31,2023.11~2027.12 (분기 1회),,,,2지점,,,1일연속,
11,"블루컬리넌C,C조성사업 사후환경영향조사",㈜국일건설엔지니어링,2024.12.23~2029.12.31,2024.12~2029.12 (분기 1회),,,,3지점,,,1일연속,
12,용인 신갈 C.C 조성사업,㈜국일건설엔지니어링,2025.07.29~2027.12.31,,,,2025.07~2027.12 (분기 1회),7지점,,,,"1일연속(PM-10, NO2)"
13,25-강설-육-79) 소규모환경영향평가,㈜국일건설엔지니어링,2025.08.20~과업완료시,,,,2025.08~과업완료시 (1회),2지점,,1일연속,,
14,인천검단하수처리장 환경질조사,기술법인 이움,2025.09.01~2025.12.31,,,,2025.09~과업완료시 (1회),1지점,,1일연속,,"1일연속(PM-10,PM-2.5)"
15,남원 드래곤 관광단지 조성사업 사후환경영향조사 (공사시),주식회사 다원피앤디,2023.05.08~2027.12.31,2023.05~2027.12 (분기 1회),,,,3지점,,,3일연속,
16,신가~구만 지방도 확포장공사 소규모 환경영향평가 용역 중 환경질 측정 분석,주식회사 다원피앤디,2025.08.12~과업완료시,,,,2025.08~과업완료시 (1회),2지점,,1일연속,,
17,"충북,진천,음성 혁신도시개발사업 사후환경영향조사 중 환경질측정",㈜동일기술공사,2009.07.03~2028.04.30,2009.07.~2028.04 (분기1회),,,,2지점,,,,"1일연속(PM-10, NO2)"
