회사명 : (주)청명기연환경 / 2025/01/01  ~ 2025/11/07  / AS수리현황,,,,,,,,
일자-No.,제목,거래처명,수리유형명,담당자명,품목명,단가,수리내역,일련번호
25/01/08-4,켐익 일반수리,켐익,일반수리,신수용,COS-100,"50,000",기본점검검,KM008W18CO76
25/01/08-4,켐익 일반수리,켐익,일반수리,신수용,COS-100,,내부 배관 교체,KM008W18CO76
25/01/08-4,켐익 일반수리,켐익,일반수리,신수용,COS-100,"50,000",내부 펌프 흡인후 커넥터 파손교체,KM008W18CO76
25/01/08-5,켐익 일반수리,켐익,일반수리,신수용,COS-100,,내부배관 교체,KM014W16CO22
25/01/08-5,켐익 일반수리,켐익,일반수리,신수용,COS-100,"50,000",기본점검,KM014W16CO22
25/01/17-2,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P354
25/01/17-2,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"370,000",유량미달 펌프교체,18P354
25/01/17-2,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"350,000",유량센서 교체,18P354
25/01/17-3,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P353
25/01/17-4,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P355
25/01/17-5,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P356
25/01/17-6,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P357
25/01/17-7,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P358
25/01/17-8,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P359
25/01/17-9,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P360
25/01/17-10,켐익 정도검사,켐익,정도검사,김현식,(PM-10) KMS-4200,"50,000",정도검사,18P361
25/01/17-11,켐익 일반수리,켐익,일반수리,김현식,(PM-10) KMS-4200,"370,000",유량미달 펌프교체,19P432
25/01/17-11,켐익 일반수리,켐익,일반수리,김현식,(PM-10) KMS-4200,"350,000",유량센서 교체,19P432
