회사명 : (주)청명기연환경 / 2023/01/01  ~ 2025/08/25  / AS수리현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
일자-No.,제목,거래처명,수리유형명,담당자명,품목명,단가,적요,규격,순번
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P353,1
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P354,2
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P355,3
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P357,4
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P359,5
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P360,6
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P361,7
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,150000,"외장온,습도센서 교체",18P355,8
23/01/10-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,정도검사대행료료,150000,정도검사대행료료,21,9
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10,100000,정도검사,17-0133,10
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,100000,정도검사,20-1382,11
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,100000,정도검사,20-1348,12
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,100000,정도검사,20-1571,13
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,100000,정도검사,20-1560,14
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10i,100000,정도검사,20-1393,15
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,100000,정도검사,17-1509,16
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,100000,정도검사,20-1508,17
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,100000,정도검사,20-1503,18
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,정도검사대행료,300000,정도검사대행료,21,19
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10,1680000,Internal pump,17-0129,20
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10,760000,PCA Lamp driver,17-0128,21
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,2140000,Detector,20-1348,22
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(CO) Serinus30i,2140000,Detector,20-1502,23
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(O3) Serinus10,940000,Lamp Assembly,17-0132,24
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(PM-2.5) PMS-204,50000,정도검사,1709797,25
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,(PM-2.5) PMS-204,50000,정도검사,1709798,26
23/01/12-1,APM 정도검사 및 수리,APM,정도검사 및 수리,황연걸,DC,-460000,DC,21,27
23/01/30-1,APM 부품구매,APM,일반수리,황연걸,Fitting nut 1/4T KYNAR,300000,Fitting nut 1/4T KYNAR,21,28
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P370,29
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,150000,"외장온,습도센서 교체",18P370,30
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,리니어부싱 부식교체,18P370,31
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P368,32
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P369,33
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P371,34
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P372,35
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P373,36
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,(PM-10) KMS-4200,50000,정도검사,18P375,37
23/02/06-1,켐익 정도검사 및 수리,켐익,정도검사 및 수리,황연걸,정도검사대행료,150000,정도검사대행료,21,38
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,50000,브러시단자 접점부 고정작업,4170/TA3682,39
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,50000,브러시 단자 단선,21,40
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,100000,브러시 교체 작업,21,41
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,450000,모터교체,21,42
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,400000,컨트롤러 교체,21,43
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,450000,모터교체,21,44
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,(Pb) T8400ME,400000,컨트롤러 교체,21,45
23/02/07-1,카인 일반수리,카인,일반수리,황연걸,DC,-570000,DC,21,46
23/02/07-2,토탈 일반수리,토탈엔지니어링,일반수리,황연걸,"(NOx, SOx) BMW-5000",20000,AC 아답터 소켓교체,853,47
23/02/07-2,토탈 일반수리,토탈엔지니어링,일반수리,황연걸,"(NOx, SOx) BMW-5000",700000,양측유량계 교체,1314,48
23/02/07-2,토탈 일반수리,토탈엔지니어링,일반수리,황연걸,"(NOx, SOx) BMW-5000",13000,전원 버튼 교체,1314,49
23/02/07-2,토탈 일반수리,토탈엔지니어링,일반수리,황연걸,"(NOx, SOx) BMW-5000",15000,호스 연결 커넥터 교체,1795,50
23/02/07-2,토탈 일반수리,토탈엔지니어링,일반수리,황연걸,"(NOx, SOx) BMW-5000",700000,양측 유량계 교체,853,51
