회사명 : (주)청명기연환경 / 2025/09/23  ~ 2025/10/14  / 장비투입현황,,,,,,,,
일자-No.,출고창고명,입고창고명,장비명,일련번호,수량,장비상태,비고,담당자
2025/09/23 -1,청명,현장,COS-100,KM008W18CO77,1,정상,,신수용
2025/09/23 -1,청명,현장,Kestrel5500,2390486,1,정상,,신수용
2025/09/23 -1,청명,현장,악취샘플링 흡인박스,흡인박스4,1,정상,,신수용
2025/09/23 -1,청명,현장,KMS-5100,23KR1730,1,정상,,신수용
2025/09/23 -2,현장,청명,COS-100,KM008W18CO77,1,정상,,신수용
2025/09/23 -2,현장,청명,Kestrel5500,2390486,1,정상,,신수용
2025/09/23 -2,현장,청명,악취샘플링 흡인박스,흡인박스4,1,정상,,신수용
2025/09/23 -2,현장,청명,KMS-5100,23KR1730,1,정상,,신수용
2025/09/23 -3,청명,현장,ProPlus,19E202574,1,정상,,황혜민
2025/09/23 -4,현장,청명,ProPlus,19E202574,1,정상,,황혜민
2025/09/23 -5,청명,현장,ProPlus,17K100085,1,정상,"화성태안, 미호강",원상연
2025/09/23 -6,현장,청명,ProPlus,17K100085,1,정상,"화성태안, 미호강",원상연
2025/09/23 -7,현장,청명,(소음) SC-260,T242074,1,정상,,김균학
2025/09/23 -7,현장,청명,(진동) VM-1220E,20E474,1,정상,,김균학
2025/09/23 -7,현장,청명,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/23 -8,청명,현장,(소음) SC-260,T242074,1,정상,,김균학
2025/09/23 -8,청명,현장,(진동) VM-1220E,20E474,1,정상,,김균학
2025/09/23 -8,청명,현장,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/23  계,,,,,18,,,
2025/09/24 -1,청명,현장,악취샘플링 흡인박스,흡인박스4,1,정상,,신수용
2025/09/24 -1,청명,현장,KMS-5100,23KR1730,1,정상,,신수용
2025/09/24 -1,청명,현장,(VOCs) MP-Σ30KNⅡ,770657,1,정상,,신수용
2025/09/24 -1,청명,현장,Kestrel5500,2390486,1,정상,,신수용
2025/09/24 -1,청명,현장,COS-100,KM008W18CO77,1,정상,,신수용
2025/09/24 -2,현장,청명,Kestrel5500,2390486,1,정상,,신수용
2025/09/24 -2,현장,청명,COS-100,KM008W18CO77,1,정상,,신수용
2025/09/24 -2,현장,청명,(VOCs) MP-Σ30KNⅡ,770657,1,정상,,신수용
2025/09/24 -2,현장,청명,악취샘플링 흡인박스,흡인박스4,1,정상,,신수용
2025/09/24 -2,현장,청명,KMS-5100,23KR1730,1,정상,,신수용
2025/09/24 -4,현장,청명,(소음) SC-260,T242057,1,정상,,박혁
2025/09/24 -4,현장,청명,(진동) TYPE3233,150072,1,정상,,박혁
2025/09/24 -4,현장,청명,(소음계교정) AC-300,629,1,정상,,박혁
2025/09/24 -5,현장,청명,(소음) SC-260,T246356,1,정상,,김현식
2025/09/24 -5,현장,청명,(소음계교정) CB006,901671,1,정상,,김현식
2025/09/24 -5,현장,청명,(진동) VM-1220E,20E546,1,정상,,김현식
2025/09/24 -6,현장,청명,(소음) SC-260,T242074,1,정상,,김균학
2025/09/24 -6,현장,청명,(진동) VM-1220E,20E474,1,정상,,김균학
2025/09/24 -6,현장,청명,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/24 -7,현장,청명,(소음) SC-260,T242060,1,정상,,유창진
2025/09/24 -7,현장,청명,(소음) SC-260,T242072,1,정상,,유창진
2025/09/24 -7,현장,청명,(진동) TYPE3233,150076,1,정상,,유창진
2025/09/24 -7,현장,청명,(소음계교정) AC-300,630,1,정상,,유창진
2025/09/24 -8,청명,현장,ProPlus,17K100085,1,정상,,원상연
2025/09/24 -9,현장,청명,ProPlus,17K100085,1,정상,,원상연
2025/09/24 -10,현장,청명,ProPlus,19E102565,1,정상,"고부~영원, 서산 산업유통형",한승현
2025/09/24 -10,현장,청명,FP101 Flow Probe.,1828001882,1,정상,,한승현
2025/09/24 -11,청명,현장,ProPlus,19E102565,1,정상,,한승현
2025/09/24 -12,청명,현장,(소음) SC-260,T242057,1,정상,,박혁
2025/09/24 -12,청명,현장,(진동) TYPE3233,150072,1,정상,,박혁
2025/09/24 -12,청명,현장,(소음계교정) AC-300,629,1,정상,,박혁
2025/09/24 -13,청명,현장,(소음) SC-260,T242060,1,정상,,유창진
2025/09/24 -13,청명,현장,(소음계교정) AC-300,630,1,정상,,유창진
2025/09/24 -13,청명,현장,(진동) TYPE3233,150076,1,정상,,유창진
2025/09/24  계,,,,,34,,,
2025/09/25 -1,청명,현장,(소음) SC-260,T246356,1,정상,,김현식
2025/09/25 -1,청명,현장,(소음계교정) CB006,901671,1,정상,,김현식
2025/09/25 -1,청명,현장,(진동) VM-1220E,20E546,1,정상,,김현식
2025/09/25 -2,청명,현장,(PM-10) KMS-4200,20P568,1,정상,A-7,이형섭
2025/09/25 -2,청명,현장,(PM-2.5) KMS-4200,20P565,1,정상,A-7,이형섭
2025/09/25 -2,청명,현장,"(NOx, SOx) BMW-5000",1745,1,정상,A-7,이형섭
2025/09/25 -2,청명,현장,(O3) Serinus10i,20-1393,1,정상,A-7,이형섭
2025/09/25 -2,청명,현장,(CO) Serinus30i,18-0328,1,정상,A-7,이형섭
2025/09/25 -2,청명,현장,(Pb) T8400ME,TA3703,1,정상,A-7,이형섭
2025/09/25 -2,청명,현장,(벤젠) MP-Σ30KNⅡ,770660,1,정상,A-7~8,이형섭
2025/09/25 -2,청명,현장,(PM-2.5) PMS-204,1708786,1,정상,A-8,이형섭
2025/09/25 -2,청명,현장,(PM-10) KMS-4200,18P354,1,정상,A-8,이형섭
2025/09/25 -2,청명,현장,"(NOx, SOx) BMW-5000",1312,1,정상,A-8,이형섭
2025/09/25 -2,청명,현장,(CO) Serinus30i,20-2132,1,정상,A-8,이형섭
2025/09/25 -2,청명,현장,(O3) Serinus10i,21-0524,1,정상,A-8,이형섭
2025/09/25 -2,청명,현장,(Pb) T8400ME,TA3265,1,정상,A-8,이형섭
2025/09/25 -3,청명,현장,(소음) SC-260,T242086,1,정상,,김민수
2025/09/25 -3,청명,현장,(진동) TYPE3233,160096,1,정상,,김민수
2025/09/25 -4,현장,청명,(소음) SC-260,T242086,1,정상,,김민수
2025/09/25 -4,현장,청명,(진동) TYPE3233,160096,1,정상,,김민수
2025/09/25 -5,청명,현장,(소음) SC-260,T242074,1,정상,,김균학
2025/09/25 -5,청명,현장,(진동) VM-1220E,20E474,1,정상,,김균학
2025/09/25 -5,청명,현장,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/25 -6,현장,청명,(소음) SC-260,T242074,1,정상,,김균학
2025/09/25 -6,현장,청명,(진동) VM-1220E,20E474,1,정상,,김균학
2025/09/25 -6,현장,청명,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/25 -7,현장,청명,ProPlus,19E102565,1,정상,,한승현
2025/09/25 -8,청명,현장,ProPlus,17K100085,1,정상,,황혜민
2025/09/25 -9,현장,청명,ProPlus,17K100085,1,정상,,황혜민
2025/09/25 -10,청명,현장,(소음) SC-260,T242074,1,정상,,김균학
2025/09/25 -10,청명,현장,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/25  계,,,,,31,,,
2025/09/26 -1,현장,청명,(소음) SC-260,T246356,1,정상,,김현식
2025/09/26 -1,현장,청명,(소음계교정) CB006,901671,1,정상,,김현식
2025/09/26 -1,현장,청명,(진동) VM-1220E,20E546,1,정상,,김현식
2025/09/26 -2,현장,청명,(PM-10) KMS-4200,18P357,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-2.5) PMS-204,1501505,1,,,조윤신
2025/09/26 -2,현장,청명,"(NOx, SOx) BMW-5000",1319,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-10) KMS-4200,18P375,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-2.5) PMS-204,1501515,1,,,조윤신
2025/09/26 -2,현장,청명,"(NOx, SOx) BMW-5000",1316,1,,,조윤신
2025/09/26 -2,현장,청명,"(NOx, SOx) BMW-5000",719,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-10) KMS-4200,22P617,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-2.5) PMS-204,1501508,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-10) KMS-4200,18P370,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-2.5) PMS-204,1708790,1,,,조윤신
2025/09/26 -2,현장,청명,"(NOx, SOx) BMW-5000",855,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-10) KMS-4200,19P431,1,,,조윤신
2025/09/26 -2,현장,청명,(PM-2.5) PMS-204,1708795,1,,,조윤신
2025/09/26 -2,현장,청명,"(NOx, SOx) BMW-5000",1317,1,,,조윤신
2025/09/26 -3,현장,청명,(소음) SC-260,T242057,1,정상,,박혁
2025/09/26 -3,현장,청명,(진동) TYPE3233,150072,1,정상,,박혁
2025/09/26 -3,현장,청명,(소음계교정) AC-300,629,1,정상,,박혁
2025/09/26 -4,현장,청명,(소음) SC-260,T242060,1,정상,,유창진
2025/09/26 -4,현장,청명,(소음계교정) AC-300,630,1,정상,,유창진
2025/09/26 -4,현장,청명,(진동) TYPE3233,150076,1,정상,,유창진
2025/09/26 -5,현장,청명,(PM-10) KMS-4200,20P568,1,정상,,이형섭
2025/09/26 -5,현장,청명,(PM-2.5) KMS-4200,20P565,1,정상,,이형섭
2025/09/26 -5,현장,청명,"(NOx, SOx) BMW-5000",1745,1,정상,,이형섭
2025/09/26 -5,현장,청명,(O3) Serinus10i,20-1393,1,정상,,이형섭
2025/09/26 -5,현장,청명,(CO) Serinus30i,18-0328,1,정상,,이형섭
2025/09/26 -5,현장,청명,(Pb) T8400ME,TA3703,1,정상,,이형섭
2025/09/26 -5,현장,청명,(벤젠) MP-Σ30KNⅡ,770660,1,정상,,이형섭
2025/09/26 -5,현장,청명,(PM-2.5) PMS-204,1708786,1,정상,,이형섭
2025/09/26 -5,현장,청명,(PM-10) KMS-4200,18P354,1,정상,,이형섭
2025/09/26 -5,현장,청명,"(NOx, SOx) BMW-5000",1312,1,정상,,이형섭
2025/09/26 -5,현장,청명,(CO) Serinus30i,20-2132,1,정상,,이형섭
2025/09/26 -5,현장,청명,(O3) Serinus10i,21-0524,1,정상,,이형섭
2025/09/26 -5,현장,청명,(Pb) T8400ME,TA3265,1,정상,,이형섭
2025/09/26  계,,,,,37,,,
2025/09/27 -1,현장,청명,(PM-2.5) PMS-204,1501513,1,정상,A-2,조윤신
2025/09/27 -1,현장,청명,(PM-10) PMS-204,1904006,1,정상,A-2,조윤신
2025/09/27 -1,현장,청명,"(NOx, SOx) BMW-5000",858,1,정상,A-2,조윤신
2025/09/27 -1,현장,청명,"(NOx, SOx) BMW-5000",854,1,정상,A-1,조윤신
2025/09/27 -1,현장,청명,(PM-2.5) PMS-204,1708791,1,정상,A-1,조윤신
2025/09/27 -1,현장,청명,(PM-10) PMS-204,1904007,1,정상,A-1,조윤신
2025/09/27  계,,,,,6,,,
2025/09/29 -1,현장,청명,이동차량(1023),,1,정상,,조용재
2025/09/29 -1,현장,청명,(Pb) T8400ME,TA3160,1,정상,,조용재
2025/09/29 -1,현장,청명,(PM-10) KMS-4200,18P356,1,정상,,조용재
2025/09/29 -1,현장,청명,(PM-10) KMS-4200,18P367,1,정상,,조용재
2025/09/29 -1,현장,청명,(PM-10) KMS-4200,18P374,1,정상,,조용재
2025/09/29 -2,현장,청명,(PM-10) PMS-204,1904012,1,정상,,나훈
2025/09/29 -2,현장,청명,"(NOx, SOx) BMW-5000",1848,1,정상,,나훈
2025/09/29 -2,현장,청명,(CO) Serinus30i,20-2305,1,정상,,나훈
2025/09/29 -2,현장,청명,(Pb) T8400ME,4241/TA3744,1,정상,,나훈
2025/09/29 -2,현장,청명,(O3) Serinus10i,17-0130,1,정상,,나훈
2025/09/29 -2,현장,청명,(PM-10) KMS-4200,19P432,1,정상,,나훈
2025/09/29 -2,현장,청명,(Pb) T8400ME,TA3277,1,정상,,나훈
2025/09/29 -2,현장,청명,(O3) Serinus10i,17-0127,1,정상,,나훈
2025/09/29 -2,현장,청명,(CO) Serinus30i,20-2313,1,정상,,나훈
2025/09/29 -2,현장,청명,"(NOx, SOx) BMW-5000",1791,1,정상,,나훈
2025/09/29 -2,현장,청명,(Pb) T8400ME,TA2999,1,정상,,나훈
2025/09/29 -2,현장,청명,(PM-10) KMS-4200,18P361,1,정상,,나훈
2025/09/29 -2,현장,청명,(O3) Serinus10i,17-0132,1,정상,,나훈
2025/09/29 -2,현장,청명,(CO) Serinus30i,20-1509,1,정상,,나훈
2025/09/29 -2,현장,청명,"(NOx, SOx) BMW-5000",724,1,정상,,나훈
2025/09/29 -2,현장,청명,(PM-10) KMS-4200,18P368,1,정상,,나훈
2025/09/29 -3,현장,청명,(소음) SC-260,T242074,1,정상,,김균학
2025/09/29 -3,현장,청명,(소음계교정) NC-73,10844967,1,정상,,김균학
2025/09/29 -5,현장,청명,(CO) Serinus30i,18-0145,1,,,백승철
2025/09/29 -5,현장,청명,(O3) Serinus10i,20-1560,1,,,백승철
2025/09/29 -5,현장,청명,(PM-10) KMS-4200,19P426,1,,,백승철
2025/09/29 -5,현장,청명,"(NOx, SOx) BMW-5000",1798,1,,,백승철
2025/09/29 -5,현장,청명,(Pb) TFIA-2,25314T,1,,,백승철
2025/09/29 -5,현장,청명,(O3) Serinus10i,21-0507,1,,,백승철
2025/09/29 -5,현장,청명,(CO) Serinus30i,20-1508,1,,,백승철
2025/09/29 -5,현장,청명,(PM-10) KMS-4200,18P371,1,,,백승철
2025/09/29 -5,현장,청명,"(NOx, SOx) BMW-5000",1793,1,,,백승철
2025/09/29 -5,현장,청명,(Pb) T8400ME,TA3154,1,,,백승철
2025/09/29 -5,현장,청명,(O3) Serinus10i,21-0353,1,,,백승철
2025/09/29 -5,현장,청명,(CO) Serinus30i,18-0310,1,,,백승철
2025/09/29 -5,현장,청명,(PM-10) KMS-4200,18P373,1,,,백승철
2025/09/29 -5,현장,청명,"(NOx, SOx) BMW-5000",1313,1,,,백승철
2025/09/29 -5,현장,청명,(Pb) TFIA-2,25320T,1,,,백승철
2025/09/29 -5,현장,청명,(O3) Serinus10i,20-1571,1,,,백승철
2025/09/29 -5,현장,청명,(CO) Serinus30i,20-1348,1,,,백승철
2025/09/29 -5,현장,청명,(PM-10) KMS-4200,18P355,1,,,백승철
2025/09/29 -5,현장,청명,"(NOx, SOx) BMW-5000",851,1,,,백승철
2025/09/29 -5,현장,청명,(Pb) TFIA-2,25308T,1,,,백승철
2025/09/29 -6,청명,업체,KMF-20,19FN200,1,전원 이상,수리점검,신수용
2025/09/29 -6,청명,업체,KMF-20,19FN201,1,정상,교정,신수용
2025/09/29 -7,청명,현장,(Pb) T8400ME,4212/TA3714,1,정상,A-2,나훈
2025/09/29 -7,청명,현장,(PM-2.5) E-BAM,T25861,1,정상,A-2,나훈
2025/09/29 -7,청명,현장,(SO2) Serinus50i,17-1906,1,정상,A-2,나훈
2025/09/29 -7,청명,현장,(NO2) MEZUS-210,K1515022,1,정상,A-2,나훈
2025/09/29 -7,청명,현장,(CO) Serinus30i,20-1502,1,정상,A-2,나훈
